,sentence
28,"There also lies potential in the connection of volunteers with formal emergency response officers during crisis situations. Systems designed to assist emergencies services during crises face typically a number of challenges, including a lack of coordination and communication between the officers and other formal entities as well as an unwillingness to engage and form relationships with digital volunteer groups [19]. A successful connection with both physical and digital volunteers could indeed aid response efforts immensely, with a wealth of potential skills and resources becoming available [20]."
29,"A range of systems have been developed in the past with the goal to support emergency response efforts during disasters [4]. These systems, however, have had little impact on the sector. It has been found that reasons behind this include the insufficient training of personnel, which require time to make adequate use of the platforms, the lack of guidelines for their use, and apprehension over social media trustworthiness [9]."
30,"In this paper, we propose a new system, Event Tracker, which aims to support the monitoring and management of events during disasters and crisis situations. The system intends to support three primary tiers of users - emergency response officers and their teams; physical and digital volunteers; as well as the victims during the crisis. Indeed, we argue that emergency response agencies should be given the tools to navigate large volumes of social media data with ease, supported by functionalities such actionable information feeds and criticality estimation. Moreover, volunteers should be able to provide information directly to these response agencies, either using their first-person knowledge of the situation, or aiding the data navigation and highlighting specific information and relevant details. Finally, victims during a disaster should be able to straightforwardly access advice and information from emergency services, ensuring that they are equipped with up-to-date information that could lead to their safety."
31,2 RELATED WORK
32,"To-date, there have been a range of techniques and systems proposed to support crisis management. Below we provide a brief overview of key technologies and initiatives that are relevant to our proposed Event Tracker system."
33,
34,1341
35,
36,Demonstration Papers 3: Applications
37,
38,"SIGIR '19, July 21­25, 2019, Paris, France"
39,
40,"Finding Relevant Information: A core function of any crisis management solution is getting key information to the right people. This is operationalised either via volunteer efforts [6] or through automatic technologies [18] for categorising and prioritising reports. Indeed, a survey [5] of approaches identified eight dimensions of categorisation, namely: by information provided/contained; fact vs. subjective vs. emotional content; by information source; by credibility; by time; by location; by embedded links; or by environmental relevance"
41,"Crisis Content Processing and TREC-IS: As discussed above, a range of automatic technologies to support crisis management have previously been proposed. However, individually they have had little impact on crisis management as a whole [16]. One reason for this lack of impact is data quality [10]. To avoid a similar fate, Event Tracker's automatic content categorisation service targets a crisis ontology being maintained by an active initiative, namely TREC Incident Streams"
42,"Related Systems: Before discussing the design and architecture of Event Tracker, it is worth highlighting some related systems that we either build upon or learn from. First, EAIMS [13], was a prototype crisis management system that aimed at exploiting social media data to provide real-time detection of emergency events"
43,
44,"using only pre-trained models can lead to low accuracy. Currently, Event Tracker relies on pre-trained classification models, however its underlying microservice architecture is flexible and allows for the integration of additional services like AIDR. Finally, Twitcident is another web-based system for filtering and analysing social media data on real-world incidents, such as disasters. Similar to EAIMS, Twitcident [1] provides incident detection and search technologies, enabling emergency services to filter data to aid their response efforts. However, a relatively recent study showed that Twitcident did not provide much value to response agencies in practice, as it could not provide early warnings regarding critical information [3]. For this reason, Event Tracker integrates criticality estimation tools to provide real-time reporting of crucial information."
45,3 EVENT TRACKER ARCHITECTURE
46,"As argued earlier, the goal of Event Tracker is to provide an integrated platform that provides both automated low-latency ingestion and augmentation of report streams"
47,"As such, Event Tracker uses a flexible architecture as illustrated in Figure 2. The lowest ingestion layer provides multi-stream integration, using a common data back-end to [13]. Above this sits the augmentation layer, which enables modular and scalable integration of report tagging microservices"
48,4 KEY FUNCTIONALITIES
49,"Event Tracker integrates a number of functionalities following the design vision discussed earlier. Below, we summarise these main functionalities."
50,"Generating Actionable Information Feeds: As discussed above, getting key information to the right people is crucial for a successful crisis management system, and one of the main reasons why previous systems have failed. Event Tracker combats this by providing multiple actionable information feeds through user dashboards, each of which is designed with a different intention of the value it can provide to the response agencies. Figure 1"
51,
52,1342
53,
54,Demonstration Papers 3: Applications
55,
56,"SIGIR '19, July 21­25, 2019, Paris, France"
57,
58,(b) Event Map
59,
60,(d) Media Feed
61,
62,(a) Twitter Feed
63,
64,(c) Critical Feed
65,
66,(e) Event Tracker Feed
67,
68,Figure 1: A selection of different functionalities available on the dashboards on Event Tracker
69,
70,Interaction Layer
71,Content Search Information Feeds Critical Alerts Response Groups Crisis Mapping
72,
73,Storage Layer
74,
75,Activity Layer
76,Actor System
77,
78,Augmentation Layer
79,
80,Augmentation
81,Criticality Estimation
82,
83,Layer Actionable
84,Information Identification
85,
86,Ingestion Layer
87,Unified Ingestion API
88,
89,Live Feeds
90,
91,Data Entry
92,
93,Social Media
94,
95,Newswire
96,
97,Call Centre
98,
99,C&C Terminal
100,
101,Figure 2: Conceptual architecture
102,
103,Figure 1
104,Criticality Alerting: Early warnings and alerts regarding critical information posted online during a crisis situation is imperative for a quick response from emergency services. Aid requests could be
105,
106,"answered quickly, increasing for example the likelihood that a victim could be assisted in time. Event Tracker aims to accomplish this by also making use of the TREC-IS initiative to provide real-time identification of critical information. Fast classification and text processing technologies are exploited to immediately label incoming messages with a criticality score of low, medium, high, or critical, which can then be displayed alongside Tweets on a user's dashboard. Continuous push notifications servicing is also harnessed by Event Tracker to populate the Critical Feed, pictured in Figure 1"
107,"Communicating Amongst Response Associations & Groups: To support crisis management, there are a large number of associations that could help monitor and manage a crisis"
108,"Additional Functionalities: Along with these key functionalities, Event Tracker provides some other features which are worth mentioning. First, we describe the Crisis mapping functionality.Figure 1"
109,
110,1343
111,
112,Demonstration Papers 3: Applications
113,
114,"SIGIR '19, July 21­25, 2019, Paris, France"
115,
116,"response agencies. The module could be extended in the future to display the locations of other reports, to improve data management. Next, we describe the On-request information access functionality. Making use of the Terrier search engine [14], Event Tracker allows users to explore the collected data with ease. New feeds are created on the user's dashboard, enabling multiple searches to run concurrently. For example, emergency response agencies can make use of this feature to discover reports relating to specific queries, such as `fire'."
117,Figure 3: Potential Tweet Category feeds on user dashboards
118,5 ILLUSTRATIVE USE CASES
119,"Focussing on multiple types of users during a crisis event, Event Tracker has several use cases. To illustrate the working of Event Tracker, let's consider two possible user cases. In the first use case, consider an emergency response officer, who uses the system to view all the actionable information feeds and navigate the incoming reports of data. During a simulation of the 2013 Australia Bushfire crisis, Event Tracker marked the Tweet ""Horrid emergency unfolding at #faulconbridge - fire is 50m behind #springwood shs - near hundreds of homes, norman lindsay gallery #nswfires"" as a high criticality emerging threat. Had Event Tracker been deployed over this event, a response officer accessing this report could have contributed an effective response. During an event, these officers may be monitoring multiple communication channels [17], which may lead to sporadic focus on each of the information feeds. As a consequence, some important information about tnhe event might be missed. Instead, with Event Tracker, the criticality alerting component would notify the user with any new reports that are predicted to be of vital importance, ensuring that the end-user can act quickly and efficiently. As a second case, consider a volunteer on the ground during a disaster. They could make use of Event Tracker to coordinate with response agencies to ensure that they are providing the best help they can. They can also make reports for the response agencies, to bring any significant information they possess to the attention of the response officers."
120,6 CONCLUSIONS
121,"In this paper, we have presented Event Tracker, a modular and extensible prototype system designed to support the monitoring"
122,
123,"and management of events during crisis situations. The system leverages a flexible architecture, which is designed for low latency, and high-volume streams of data to provide functionalities such as actionable information feeds and criticality alerting. Event Tracker also enables the communication between various emergency response agencies and volunteers, and provides additional functionalities such as crisis mapping and on-request information access. In the short term, we aim to make Event Tracker available to the participants of the TREC-IS track. In particular, due to the modular augmentation layer Event Tracker is built upon, microservices such as those proposed by different groups participating to the TREC-IS track could be integrated and deployed, enabling different demonstrations to the end-users, whereby the corresponding outcomes and effectiveness of different technologies can be evaluated and further investigated."
124,
125,REFERENCES
126,
127,"[1] Fabian Abel, Claudia Hauff, Geert-Jan Houben, Richard Stronkman, and Ke"
128,
129,Tao. 2012. Twitcident: Fighting fire with information from Social Web streams.
130,
131,WWW'12 - Proceedings of the 21st Annual Conference on World Wide Web Com-
132,
133,panion
134,
135,[2] Liz Alton. 2018.
136,
137,Everything you need to know about
138,
139,Twitter Moments.
140,
141,https://business.twitter.com/en/blog/
142,
143,Everything-you-need-to-know-about-Twitter-Moments.html. Accessed:
144,
145,09.02.2019.
146,
147,"[3] Kees Boersma, Dominique Diks, Julie Ferguson, and Jeroen Wolbers. 2016. From"
148,
149,Reactive to Proactive Use of Social Media in Emergency Response: A Critical Discus-
150,
151,sion of the Twitcident Project. https://doi.org/10.4018/978-1-4666-9867-3.ch014
152,
153,[4] Carlos Castillo. 2016. Big Crisis Data: Social Media in Disasters and Time-
154,
155,Critical Situations. Cambridge University Press. https://doi.org/10.1017/
156,
157,CBO9781316476840
158,
159,[5] Carlos Castillo. 2016. Big crisis data: social media in disasters and time-critical
160,
161,situations. Cambridge University Press.
162,
163,"[6] Lise Ann St Denis, Amanda L Hughes, and Leysia Palen. 2012. Trial by fire:"
164,
165,The deployment of trusted digital volunteers in the 2011 shadow lake fire. In
166,
167,Proceedings of ISCRAM.
168,
169,"[7] R. McCreadie et al. 2016. D4.7 - Integrated Search over Social Media. Deliverable,"
170,
171,SUPER FP7 Project
172,
173,[8] J. Harrald and T. Jefferson. 2007. Shared Situational Awareness in Emergency
174,
175,Management Mitigation and Response. In 2007 40th Annual Hawaii International
176,
177,Conference on System Sciences
178,
179,2007.481
180,
181,"[9] Starr Hiltz, Jane Kushma, and Linda Plotnick. 2014. Use of Social Media by U.S."
182,
183,Public Sector Emergency Managers: Barriers and Wish Lists. https://doi.org/10.
184,
185,13140/2.1.3122.4005
186,
187,"[10] Starr Roxanne Hiltz, Jane A Kushma, and Linda Plotnick. 2014. Use of Social"
188,
189,Media by US Public Sector Emergency Managers: Barriers and Wish Lists.. In
190,
191,Proceedings of ISCRAM.
192,
193,[11] Peter Hoeppe. 2015. Trends in weather related disasters - Consequences for
194,
195,insurers and society.
196,
197,"[12] Muhammad Imran, Carlos Castillo, Ji Lucas, Patrick Meier, and Sarah Vieweg. [n."
198,
199,d.]. AIDR: Artificial intelligence for disaster response. In Proceedings of WWW.
200,
201,"[13] Richard McCreadie, Craig Macdonald, and Iadh Ounis. 2016. EAIMS: Emergency"
202,
203,Analysis Identification and Management System. https://doi.org/10.1145/2911451.
204,
205,2911460
206,
207,"[14] Iadh Ounis, Gianni Amati, Vassilis Plachouras, Ben He, Craig MacDonald, and"
208,
209,Christina Lioma. 2006. Terrier : A High Performance and Scalable Information
210,
211,Retrieval Platform. In Proceedings of OSIR'2006.
212,
213,[15] Andrew Perrin. 2015. Social Media Usage: 2005-2015. Accessed: 16.02.2019.
214,
215,"[16] C Reuter, G Backfried, MA Kaufhold, and F Spahr. 2018. ISCRAM turns 15: A"
216,
217,Trend Analysis of Social Media Papers 2004-2017. In Proceedings of ISCRAM.
218,
219,"[17] Andrea H Tapia, Kathleen A Moore, and Nichloas J Johnson. 2013. Beyond the"
220,
221,trustworthy tweet: A deeper understanding of microblogged data use by disaster
222,
223,response and humanitarian relief organizations.. In Proceedings of ISCRAM.
224,
225,"[18] Marie Truelove, Maria Vasardani, and Stephan Winter. 2015. Towards credibility"
226,
227,of micro-blogs: characterising witness accounts. GeoJournal
228,
229,[19] J Twigg and Irina Mosel. 2017. Emergent groups and spontaneous volun-
230,
231,teers in urban disaster response. Environment and Urbanization 29
232,
233,095624781772141. https://doi.org/10.1177/0956247817721413
234,
235,"[20] Joshua Whittaker, Blythe McLennan, and John Handmer. 2015. A review of"
236,
237,"informal volunteerism in emergencies and disasters: Definition, opportunities"
238,
239,and challenges. International Journal of Disaster Risk Reduction 13
240,
241,368. https://doi.org/10.1016/j.ijdrr.2015.07.010
242,
243,1344
244,
245,
