Subset,Other Set,Sampling,Technique,Classifier,Iteration,Precision,Recall,AUC,Accuracy
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,7,0.759036145,0.924528302,0.932950918,0.938568935
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,7,0.82647386,0.941698352,0.948620621,0.953001396
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,7,0.881397238,0.953427065,0.960819781,0.965276566
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,7,0.892405063,0.965092402,0.967641765,0.969151312
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,8,0.909090909,0.977522216,0.974770385,0.973243369
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,8,0.901565074,0.979418345,0.974376865,0.971582411
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,8,0.909747292,0.979782271,0.975830393,0.973652068
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,8,0.924418605,0.985197935,0.980886083,0.97851714
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,8,0.930093777,0.990617433,0.98415023,0.980665876
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,9,0.785507246,0.900332226,0.878966858,0.927424983
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,9,0.748709122,0.893223819,0.862971023,0.930890052
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,9,0.779755284,0.894132653,0.877668168,0.934620754
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,9,0.820471162,0.89937667,0.897680025,0.941720468
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,9,0.843037975,0.911704312,0.909968128,0.947375768
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,10,0.846864366,0.939083558,0.914791718,0.9502094
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,10,0.829489292,0.945539906,0.907114071,0.947153256
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,10,0.841155235,0.941794665,0.912294138,0.949049032
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,10,0.843346253,0.942259112,0.913508195,0.949976733
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,10,0.856777494,0.93954503,0.919413913,0.951280798
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,1,0.892045455,0.726011561,0.846828684,0.902613566
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,1,0.892339545,0.732993197,0.84976917,0.902442819
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,1,0.909090909,0.787644788,0.879360463,0.921808566
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,1,0.910810811,0.796454948,0.884297546,0.925900008
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,1,0.918735892,0.799214531,0.88759926,0.931158969
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,2,0.915858288,0.827395694,0.899447847,0.93220427
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,2,0.919272213,0.832506799,0.902136261,0.932967866
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,2,0.927454849,0.830637488,0.902250065,0.93277442
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,2,0.920456107,0.839178357,0.905726891,0.935464875
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,2,0.931501694,0.837752454,0.907118108,0.938156541
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,3,0.905923345,0.901734104,0.933625673,0.948350965
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,3,0.911467617,0.869614512,0.918830417,0.94103003
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,3,0.930362117,0.902702703,0.938945283,0.955719175
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,3,0.917771883,0.919940916,0.945249056,0.957235052
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,3,0.932570291,0.919980363,0.948690982,0.962840782
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,4,0.958786936,0.939607544,0.962232344,0.972518053
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,4,0.950875486,0.93824988,0.959764999,0.969291795
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,4,0.965731657,0.949979611,0.968209403,0.975979723
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,4,0.96454986,0.94739479,0.967041582,0.975820978
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,4,0.957956238,0.943472865,0.963833082,0.972943487
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,5,0.820965842,0.805780347,0.87053598,0.900435594
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,5,0.811667724,0.725623583,0.830965341,0.878481407
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,5,0.814993954,0.780694981,0.857808145,0.893497874
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,5,0.834259562,0.753914328,0.85020537,0.895809035
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,5,0.823051948,0.746686303,0.846074973,0.895057886
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,6,0.781914894,0.812154696,0.863613062,0.887007117
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,6,0.763542435,0.827547592,0.864286585,0.880554441
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,6,0.766087067,0.820443115,0.859833325,0.876623123
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,6,0.755042254,0.839303607,0.867602388,0.880248025
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,6,0.765779864,0.828162022,0.8657349,0.882547302
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,7,0.893641618,0.906213365,0.933623412,0.946484132
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,7,0.908730159,0.952465835,0.959264115,0.962501945
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,7,0.935135135,0.964940239,0.970693868,0.973452245
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,7,0.944460857,0.972915399,0.976640467,0.978462017
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,7,0.939617084,0.978027593,0.978892006,0.979335242
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,8,0.954848543,0.982745098,0.982997399,0.983116006
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,8,0.956167013,0.981767411,0.982503988,0.982840843
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,8,0.95596031,0.982811627,0.982643847,0.982569702
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,8,0.956162325,0.984270242,0.983845997,0.983649716
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,8,0.957012298,0.984104885,0.98393293,0.983853371
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,9,0.875144509,0.903341289,0.920330875,0.941194773
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,9,0.867913832,0.912939773,0.918301758,0.94103003
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,9,0.891891892,0.921787709,0.932051149,0.950637768
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,9,0.913737075,0.922457501,0.943149669,0.957079543
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,9,0.905498282,0.925025075,0.940282496,0.957425619
Train_Set,Dev_Set,Undersampling,TomekLinks,Logistic Regression,10,0.914269385,0.920406598,0.942313264,0.955062601
Train_Set,Dev_Set,Undersampling,TomekLinks,Decision Tree,10,0.906734922,0.924632953,0.939095868,0.953425146
Train_Set,Dev_Set,Undersampling,TomekLinks,Naive Bayes,10,0.898599973,0.923066183,0.934235463,0.949424839
Train_Set,Dev_Set,Undersampling,TomekLinks,XGBoost,10,0.903557114,0.922270519,0.937221959,0.952265484
Train_Set,Dev_Set,Undersampling,TomekLinks,Random Forest,10,0.907931852,0.927287393,0.940377331,0.954895421
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,1,0.775075988,0.739130435,0.835557864,0.88555478
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,1,0.784735812,0.690189329,0.821014104,0.89877836
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,1,0.777380952,0.726362625,0.835673222,0.899255468
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,1,0.809815951,0.750609261,0.851193519,0.90856744
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,1,0.843283582,0.786708861,0.872670333,0.920714685
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,2,0.863340564,0.773942635,0.867702316,0.916589111
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,2,0.898727984,0.756589786,0.864678264,0.920430751
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,2,0.901910828,0.766787004,0.870105421,0.923486303
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,2,0.906853465,0.773578811,0.874235823,0.926554987
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,2,0.908792651,0.787155442,0.880716877,0.928317163
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,3,0.908730159,0.663768116,0.821314205,0.903000698
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,3,0.932631579,0.762478485,0.874233989,0.940663176
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,3,0.901960784,0.81868743,0.897575548,0.943462075
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,3,0.906028369,0.830219334,0.903331889,0.94503577
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,3,0.940056417,0.843670886,0.914224412,0.953657175
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,4,0.937697994,0.863393291,0.922673859,0.953583062
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,4,0.943476213,0.824958814,0.904585709,0.945657593
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,4,0.918241419,0.859566787,0.917588272,0.94756587
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,4,0.934069727,0.874031008,0.927268617,0.954940282
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,4,0.937065053,0.880079568,0.930417282,0.956027082
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,5,0.697727273,0.889855072,0.883806213,0.880669923
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,5,0.751987281,0.814113597,0.872906186,0.907853403
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,5,0.735059761,0.820912125,0.871326907,0.900651466
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,5,0.761867089,0.78229082,0.857700966,0.900715407
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,5,0.801158301,0.787974684,0.866319004,0.910106086
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,6,0.803061224,0.765192027,0.853080797,0.898906468
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,6,0.805471125,0.764003295,0.852531841,0.898195234
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,6,0.783823529,0.76967509,0.851013339,0.893037864
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,6,0.798710115,0.76001292,0.849745182,0.896385916
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,6,0.794496991,0.787723785,0.860692018,0.897815314
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,7,0.739130435,0.897887324,0.909779171,0.916957432
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,7,0.759036145,0.924528302,0.932950918,0.938568935
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,7,0.82647386,0.941698352,0.948620621,0.953001396
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,7,0.881397238,0.953427065,0.960819781,0.965276566
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,7,0.892405063,0.965092402,0.967641765,0.969151312
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,8,0.909090909,0.977522216,0.974770385,0.973243369
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,8,0.901565074,0.979418345,0.974376865,0.971582411
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,8,0.909747292,0.979782271,0.975830393,0.973652068
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,8,0.924418605,0.985197935,0.980886083,0.97851714
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,8,0.930093777,0.990617433,0.98415023,0.980665876
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,9,0.785507246,0.900332226,0.878966858,0.927424983
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,9,0.748709122,0.893223819,0.862971023,0.930890052
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,9,0.779755284,0.894132653,0.877668168,0.934620754
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,9,0.820471162,0.89937667,0.897680025,0.941720468
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,9,0.843037975,0.911704312,0.909968128,0.947375768
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,10,0.846864366,0.939083558,0.914791718,0.9502094
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,10,0.829489292,0.945539906,0.907114071,0.947153256
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,10,0.841155235,0.941794665,0.912294138,0.949049032
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,10,0.843346253,0.942259112,0.913508195,0.949976733
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,10,0.856777494,0.93954503,0.919413913,0.951280798
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,1,0.775075988,0.739130435,0.835557864,0.88555478
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,1,0.784735812,0.690189329,0.821014104,0.89877836
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,1,0.777380952,0.726362625,0.835673222,0.899255468
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,1,0.809815951,0.750609261,0.851193519,0.90856744
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,1,0.843283582,0.786708861,0.872670333,0.920714685
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,2,0.863340564,0.773942635,0.867702316,0.916589111
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,2,0.898727984,0.756589786,0.864678264,0.920430751
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,2,0.901910828,0.766787004,0.870105421,0.923486303
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,2,0.906853465,0.773578811,0.874235823,0.926554987
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,2,0.908792651,0.787155442,0.880716877,0.928317163
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,3,0.908730159,0.663768116,0.821314205,0.903000698
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,3,0.932631579,0.762478485,0.874233989,0.940663176
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,3,0.901960784,0.81868743,0.897575548,0.943462075
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,3,0.906028369,0.830219334,0.903331889,0.94503577
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,3,0.940056417,0.843670886,0.914224412,0.953657175
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,4,0.937697994,0.863393291,0.922673859,0.953583062
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,4,0.943476213,0.824958814,0.904585709,0.945657593
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,4,0.918241419,0.859566787,0.917588272,0.94756587
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,4,0.934069727,0.874031008,0.927268617,0.954940282
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,4,0.937065053,0.880079568,0.930417282,0.956027082
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,5,0.697727273,0.889855072,0.883806213,0.880669923
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,5,0.751987281,0.814113597,0.872906186,0.907853403
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,5,0.735059761,0.820912125,0.871326907,0.900651466
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,5,0.761867089,0.78229082,0.857700966,0.900715407
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,5,0.801158301,0.787974684,0.866319004,0.910106086
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,6,0.803061224,0.765192027,0.853080797,0.898906468
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,6,0.805471125,0.764003295,0.852531841,0.898195234
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,6,0.783823529,0.76967509,0.851013339,0.893037864
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,6,0.798710115,0.76001292,0.849745182,0.896385916
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,6,0.794496991,0.787723785,0.860692018,0.897815314
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,7,0.739130435,0.897887324,0.909779171,0.916957432
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,7,0.759036145,0.924528302,0.932950918,0.938568935
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,7,0.82647386,0.941698352,0.948620621,0.953001396
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,7,0.881397238,0.953427065,0.960819781,0.965276566
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,7,0.892405063,0.965092402,0.967641765,0.969151312
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,8,0.909090909,0.977522216,0.974770385,0.973243369
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,8,0.901565074,0.979418345,0.974376865,0.971582411
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,8,0.909747292,0.979782271,0.975830393,0.973652068
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,8,0.924418605,0.985197935,0.980886083,0.97851714
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,8,0.930093777,0.990617433,0.98415023,0.980665876
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,9,0.785507246,0.900332226,0.878966858,0.927424983
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,9,0.748709122,0.893223819,0.862971023,0.930890052
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,9,0.779755284,0.894132653,0.877668168,0.934620754
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,9,0.820471162,0.89937667,0.897680025,0.941720468
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,9,0.843037975,0.911704312,0.909968128,0.947375768
Train_Set,Dev_Set,Imbalanced,Imbalanced,Logistic Regression,10,0.846864366,0.939083558,0.914791718,0.9502094
Train_Set,Dev_Set,Imbalanced,Imbalanced,Decision Tree,10,0.829489292,0.945539906,0.907114071,0.947153256
Train_Set,Dev_Set,Imbalanced,Imbalanced,Naive Bayes,10,0.841155235,0.941794665,0.912294138,0.949049032
Train_Set,Dev_Set,Imbalanced,Imbalanced,XGBoost,10,0.843346253,0.942259112,0.913508195,0.949976733
Train_Set,Dev_Set,Imbalanced,Imbalanced,Random Forest,10,0.856777494,0.93954503,0.919413913,0.951280798
Train_Set,Dev_Set,Oversampling,ROS,Logistic Regression,1,0.940273038,0.950819672,0.946206665,0.946129374
Train_Set,Dev_Set,Oversampling,ROS,Decision Tree,1,0.942591811,0.94239291,0.942413386,0.942413356
Train_Set,Dev_Set,Oversampling,ROS,Naive Bayes,1,0.949965254,0.950625869,0.94974112,0.94975051
Train_Set,Dev_Set,Oversampling,ROS,XGBoost,1,0.950689511,0.950093965,0.950491785,0.95049247
Train_Set,Dev_Set,Oversampling,ROS,Random Forest,1,0.952377076,0.963197761,0.957524806,0.957523872
Train_Set,Dev_Set,Oversampling,ROS,Logistic Regression,2,0.954586867,0.959022742,0.956581435,0.956587725
Train_Set,Dev_Set,Oversampling,ROS,Decision Tree,2,0.953619841,0.957052221,0.955239777,0.955240275
Train_Set,Dev_Set,Oversampling,ROS,Naive Bayes,2,0.953665062,0.957044674,0.955176243,0.955180114
Train_Set,Dev_Set,Oversampling,ROS,XGBoost,2,0.95504717,0.957712502,0.956173336,0.956178229
Train_Set,Dev_Set,Oversampling,ROS,Random Forest,2,0.954876397,0.961879584,0.958251217,0.958248125
Train_Set,Dev_Set,Oversampling,ROS,Logistic Regression,3,0.967325881,0.970664366,0.969479033,0.969459173
Train_Set,Dev_Set,Oversampling,ROS,Decision Tree,3,0.960992156,0.956530914,0.958794557,0.958791209
Train_Set,Dev_Set,Oversampling,ROS,Naive Bayes,3,0.967409471,0.966063978,0.96641031,0.966406634
Train_Set,Dev_Set,Oversampling,ROS,XGBoost,3,0.97607304,0.971079557,0.97367837,0.973682839
Train_Set,Dev_Set,Oversampling,ROS,Random Forest,3,0.971317893,0.970278281,0.970818153,0.970818242
Train_Set,Dev_Set,Oversampling,ROS,Logistic Regression,4,0.977071686,0.972118567,0.974594315,0.974587936
Train_Set,Dev_Set,Oversampling,ROS,Decision Tree,4,0.976151266,0.976329917,0.976231857,0.976231884
Train_Set,Dev_Set,Oversampling,ROS,Naive Bayes,4,0.979079273,0.977502148,0.978264203,0.978262624
Train_Set,Dev_Set,Oversampling,ROS,XGBoost,4,0.980944255,0.978856251,0.979859886,0.979856695
Train_Set,Dev_Set,Oversampling,ROS,Random Forest,4,0.984607491,0.981920519,0.983298076,0.98329925
Train_Set,Dev_Set,Oversampling,ROS,Logistic Regression,5,0.669666183,0.99525453,0.760247206,0.75630965
Train_Set,Dev_Set,Oversampling,ROS,Decision Tree,5,0.762012987,0.990504326,0.840119888,0.84034235
Train_Set,Dev_Set,Oversampling,ROS,Naive Bayes,5,0.782231496,0.990681502,0.854482675,0.855928034
Train_Set,Dev_Set,Oversampling,ROS,XGBoost,5,0.71505052,0.990081437,0.79844307,0.798113503
Train_Set,Dev_Set,Oversampling,ROS,Random Forest,5,0.717945655,0.989790878,0.800533299,0.80050214
Train_Set,Dev_Set,Oversampling,ROS,Logistic Regression,6,0.773048861,0.984721538,0.847067068,0.847421734
Train_Set,Dev_Set,Oversampling,ROS,Decision Tree,6,0.759201438,0.979014153,0.834163123,0.834202899
Train_Set,Dev_Set,Oversampling,ROS,Naive Bayes,6,0.756171056,0.983623282,0.832567558,0.832880471
Train_Set,Dev_Set,Oversampling,ROS,XGBoost,6,0.762785237,0.983491793,0.837844816,0.838307868
Train_Set,Dev_Set,Oversampling,ROS,Random Forest,6,0.703431223,0.982560123,0.784507543,0.784338787
Train_Set,Dev_Set,Oversampling,ROS,Logistic Regression,7,0.973684211,0.96991835,0.972186981,0.972216331
Train_Set,Dev_Set,Oversampling,ROS,Decision Tree,7,0.974256172,0.9817138,0.978044465,0.978021978
Train_Set,Dev_Set,Oversampling,ROS,Naive Bayes,7,0.980111266,0.985318792,0.982556245,0.982570806
Train_Set,Dev_Set,Oversampling,ROS,XGBoost,7,0.977448319,0.989013311,0.983398973,0.983323779
